txn_id,txn_date,txn_time,vendor,vehicle_id,driver_id,gallons,unit_cost,total_cost,pos_odometer,gps_odometer,pump_lat,pump_lon,gps_lat,gps_lon
500001,2026-03-04,08:44,Love's,TRK-4400,D-100,62.2,4.133,257.1,386455,386452,32.6923,-96.8214,32.6888,-96.8161
500002,2026-03-06,15:40,Pilot,TRK-4400,D-100,91.5,3.873,354.39,387119,387125,40.4308,-79.9436,40.4297,-79.952
500003,2026-03-09,06:47,Love's,TRK-4400,D-100,71.0,3.985,282.92,387659,387654,39.1058,-84.4891,39.1145,-84.4868
500004,2026-03-11,19:33,PetroPass,TRK-4400,D-100,69.1,3.902,269.63,388199,388191,35.0681,-90.0138,35.083,-90.0224
500005,2026-03-14,19:02,FleetOne,TRK-4400,D-100,70.7,4.057,286.81,388684,388685,41.6397,-93.6174,41.635,-93.6089
500006,2026-03-16,11:10,FleetOne,TRK-4400,D-100,56.5,3.971,224.38,389086,389083,39.0786,-84.4921,39.0849,-84.4952
500007,2026-03-17,12:14,FleetOne,TRK-4400,D-100,58.2,4.023,234.14,389534,389528,43.5765,-79.5994,43.5813,-79.5949
500008,2026-03-18,10:46,FleetOne,TRK-4400,D-100,60.1,3.733,224.35,390012,390001,41.8501,-87.58,41.8411,-87.5838
500009,2026-03-20,08:27,Pilot,TRK-4400,D-100,54.4,3.808,207.13,390399,390397,32.683,-96.758,32.6658,-96.7536
500010,2026-03-22,08:29,PetroPass,TRK-4400,D-100,65.8,3.985,262.21,390885,390884,41.9801,-87.612,41.9699,-87.6102
500011,2026-03-23,06:09,Pilot,TRK-4400,D-100,76.3,3.772,287.78,391401,391396,41.868,-87.6463,41.8641,-87.6601
500012,2026-03-25,21:19,TA/Petro,TRK-4400,D-100,54.8,4.076,223.35,391787,391784,42.0457,-87.5793,42.0358,-87.6006
500013,2026-03-26,10:14,Love's,TRK-4400,D-100,58.6,4.11,240.84,392205,392209,35.1079,-90.0079,35.0975,-90.0247
